Claim_ID,Description,Amount,Policy_Type,Customer_Tenure,Is_Fraud
8cfdbf18-ac59-49c6-9553-fb001966cf56,routine request for back pain. Become character offer surface protect claim agreement.,599.34,Medical,1,0
18d8a70e-dc3f-4f2d-8868-d539ece10c7f,severe request for slipped. Bring new third technology.,472.35,Medical,19,0
6412fe82-da4d-4ee0-8f2a-40179544efec,maintenance request for checkup. Treat run bag trip right design.,629.54,Medical,18,0
18477644-9d1d-47e9-9b4d-5d17959d76ce,follow-up request for bike stolen. Short season operation PM stay industry.,804.61,Theft,1,0
6437724b-b9a0-4ef0-a139-d11481d101cb,urgent request for phone taken. Low leg possible ready ready would find.,453.17,Theft,5,0
01e7be1c-9ebd-4aaf-82a4-26b4f9cea782,routine request for checkup. Meeting why red recently network lawyer.,453.17,Medical,12,0
bbdd7485-4b6d-4973-8a92-a7df60c51f58,critical request for window broken. Play author state service and receive.,815.84,Property,18,0
72c47006-5857-45bf-b7c4-e37cadbadeef,severe request for bike stolen. Weight maintain blood wait full season physical behind.,653.49,Theft,19,0
aa7d2096-563c-4f09-bf4d-eb78e5d728e1,maintenance request for bike stolen. Finally physical edge left night open.,406.11,Theft,3,0
4d5da17c-4d3c-4800-9ea7-18042acdbf43,routine request for bike stolen. Idea mission site wrong full television.,608.51,Theft,6,0
731247e8-c5bb-4761-ac17-750d4140c484,follow-up request for scratch. Two example majority people occur.,407.32,Accident,18,0
1c307cdb-1c8d-4162-aeeb-2ed47195d3b6,routine request for fender bender. Interest city discussion people.,406.85,Accident,11,0
fa1ce882-da67-4326-b616-34cc7f543681,minor request for bike stolen. Every Congress however over since positive soldier into.,548.39,Theft,13,0
349b03c8-d82f-4c62-94a2-5daaa5fea569,maintenance request for phone taken. As run ball in Congress scene capital.,117.34,Theft,7,0
4256f46a-95f0-40df-a56a-f7b1d1687b4d,maintenance request for bumper. Fast discussion study mission.,155.02,Accident,9,0
a225a9bd-8027-4ddc-878a-0de274272f14,routine request for pipe leak. Understand base police someone despite discussion former.,387.54,Property,12,0
fd785d7c-ed39-4b01-8f46-a21cfa0a1b4d,maintenance request for back pain. Teacher little hold accept.,297.43,Medical,4,0
33bf2573-5c99-4f75-9fa8-13b8bfba1a1b,minor request for dental. Reflect improve after movement even assume growth.,562.85,Medical,13,0
d35b0178-71af-4902-83c6-360bd2fc04fd,follow-up request for checkup. Fly page job between.,318.4,Medical,4,0
b74b6bb1-7f2e-4c8c-a5e4-e3c1abebb64a,critical request for dental. Despite culture realize front.,217.54,Medical,10,0
4b006ec6-46bb-4809-a343-eb08a974b7b2,minor request for bumper. Drive fine two.,793.13,Accident,17,0
7655acc1-b3e2-4d3e-a7dc-1b7776a2cc92,minor request for scratch. Doctor physical describe social.,454.84,Accident,5,0
ae7e3408-115b-4650-8e4a-dc15800e0179,critical request for slipped. Wish yet study like table.,513.51,Medical,20,0
0d3bd817-c041-4cb4-a7ea-4641425f2d0b,Vehicle damage due to road conditions. Rock morning car short summer environmental explain.,2150.5,Theft,8,1
df81cd89-078a-4087-a489-f1e5cbb5b71b,minor request for slipped. Many if government law himself sea vote.,391.12,Medical,3,0
84b5242d-dd43-4af6-af42-0ec0971f328e,minor request for scratch. Necessary program husband later bit coach six.,522.18,Accident,5,0
dd075137-3974-4c4e-9548-a2cb709a98e0,follow-up request for roof damage. Line serious speech tax tax story.,269.8,Property,7,0
2dc2ef06-7ad0-4601-b8ff-0c93d76d2b1a,checkup request for roof damage. Lead if gun skill his even area research.,575.14,Property,12,0
c4dc94e9-60a4-4f43-a3ef-749e1e62901e,routine request for scratch. Left help tree radio.,379.87,Accident,3,0
b6e44179-1e01-42af-966b-7257234ac6a5,routine request for slipped. Office sure opportunity unit do information.,441.66,Medical,2,0
62b724ba-6121-4462-8cf6-aa9a164eb007,minor request for scratch. Amount ask fight over.,379.66,Accident,9,0
b404dc57-11a7-4bca-8238-dcdf5cbaf40a,emergency request for window broken. Claim work PM personal amount hand.,870.46,Property,8,0
40064878-a096-4126-82f5-8f2349bfb554,routine request for window broken. Subject bit fish threat behavior.,497.3,Property,12,0
30af977c-c121-4bf9-ac3b-a42d54c1aad8,routine request for physiotherapy. Let single send every.,288.46,Medical,2,0
305d9d4a-37f9-48c7-b60d-fb1ba7ddcd0d,severe request for collision. Cut because hear including focus bar source.,664.51,Accident,7,0
f72e9a2c-f16a-4b73-94cb-3d19a07413f6,minor request for bike stolen. Plan oil per.,255.83,Theft,15,0
c0fe3cc8-25cb-4f19-b246-a3e6c4346701,routine request for checkup. On account young make end remember also.,541.77,Medical,2,0
d299644d-3419-45b3-a144-9789def77a3a,maintenance request for collision. Push run speech so.,108.07,Accident,6,0
904e5e8e-b003-4a4e-9ac6-43b26f3a52b0,maintenance request for dental. Night amount course somebody reality.,234.36,Medical,6,0
22b34eab-804e-4638-b9fc-22a0afa063f6,minor request for wallet lost. Record third hotel energy dog.,539.37,Theft,14,0
112d6657-6557-4f9c-bf96-574db88a02f9,minor request for pipe leak. Dinner man yeah need realize foot.,647.69,Property,5,0
c8497031-eaaf-4041-8d03-34d8de86a48d,Vehicle damage due to road conditions. Along expect support section environmental he at.,5342.74,Medical,11,1
f1defafc-8188-4aad-b055-c266ab0c9c28,immediately request for roof damage. Fish drug able tell mention impact peace.,476.87,Property,17,0
5b5d1dd9-516f-4902-bacd-b404b4c1eacc,I lost my items during a trip. Physical long PM seem.,4397.79,Medical,6,1
42a342ec-7be6-488e-a62f-1dc4a4fcc783,routine request for scratch. Garden interview cold mention will time.,204.3,Accident,13,0
3379361a-69cc-4c12-b475-f746bd25bf6d,follow-up request for checkup. Defense crime democratic debate local scene particular full.,356.03,Medical,14,0
d84773c0-a719-45b5-82ca-e63061c6de1d,critical request for collision. Fish case attorney claim quality seem positive.,407.87,Accident,11,0
877b6a2f-51be-4e62-a594-c948f0a479dc,immediately request for pipe leak. Traditional give direction.,711.42,Property,11,0
4abc12c8-beab-401c-8828-fbd9b681dd0e,follow-up request for checkup. Guess travel them land sign.,568.72,Medical,3,0
f63d912c-ddc0-4822-b08f-e92e315a94e9,minor request for back pain. Woman exist away professional clearly range sister.,147.39,Medical,8,0
9d1abb3d-80d8-4051-a3d5-ffe5726d433e,minor request for wallet lost. Might at total fill.,564.82,Theft,20,0
ef9fdbf4-2bd7-4d7a-a3e1-b7b30ccb5841,routine request for bike stolen. Writer lay south support.,422.98,Theft,4,0
b088b018-b684-431c-902f-1ed3c1b39313,checkup request for scratch. Hour the tax news look protect short back.,364.62,Accident,9,0
2397d582-4bcb-4ce7-b9df-41edf163430d,urgent request for bike stolen. Eight shake firm condition whatever.,622.34,Theft,17,0
22d4ae87-4c59-4820-8b3b-650ddfd9c965,Accidental damage occurred. Loss student including lay.,7062.0,Theft,2,1
f3f2d8e7-ec41-4260-8101-28fd63994a61,minor request for wallet lost. Whole control themselves quickly play.,686.26,Theft,6,0
4ecb3c2d-2837-440e-95e4-e3714dd2ff0b,Accidental damage occurred. Environmental stock discussion star small.,3321.56,Medical,4,1
a004894d-5439-48a8-aac7-7bc210dab35f,routine request for back pain. Should listen seem lawyer.,438.16,Medical,12,0
461740c5-077a-4c57-aa32-f8ce532b180d,checkup request for bike stolen. Away simple campaign along rest fund.,566.25,Theft,12,0
fca60e8a-0852-430e-9cb0-414f637c1585,checkup request for collision. Where rest structure.,695.11,Accident,4,0
d566b862-bb94-4b9e-aad8-fdef85c90219,routine request for scratch. Choice huge movement quickly.,404.17,Accident,6,0
